일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전운량(10분위)
2022-06-29 1:00,26.2,,2.9,97,,,9
2022-06-29 2:00,26.1,,3.5,96,,,9
2022-06-29 3:00,26.3,,3,94,,,9
2022-06-29 4:00,26.5,,2.6,94,,,9
2022-06-29 5:00,26.5,0,2.2,94,,,10
2022-06-29 6:00,26.2,0,3.7,98,0,0.05,10
2022-06-29 7:00,25.6,0,4,99,0,0.1,10
2022-06-29 8:00,25,0.7,3.5,99,0,0.28,10
2022-06-29 9:00,25.3,0.7,3,99,0,0.66,10
2022-06-29 10:00,25.8,5.7,5.5,99,0.3,1.14,10
2022-06-29 11:00,26.5,,4,99,0.4,1.97,10
2022-06-29 12:00,28.2,,4.6,99,0.1,1.73,10
2022-06-29 13:00,28,,4.4,95,0.3,1.8,10
2022-06-29 14:00,27.8,,3.8,97,0.1,1.25,10
2022-06-29 15:00,28.2,0.1,4,98,0,1.01,10
2022-06-29 16:00,28.8,,5.1,88,0.1,1.41,10
2022-06-29 17:00,28.1,0,3.9,92,0.3,0.95,10
2022-06-29 18:00,27.2,0,2.9,99,0,0.35,10
2022-06-29 19:00,26.7,0,2.1,99,0,0.21,10
2022-06-29 20:00,26.2,0.3,3.1,99,0,0.08,10
2022-06-29 21:00,25.3,0.7,2.4,99,,,10
2022-06-29 22:00,25.4,0.2,2.4,99,,,10
2022-06-29 23:00,25,0.1,2.4,99,,,5
2022-06-30 0:00,25.1,0,3.1,99,,,10
2022-06-30 1:00,25.2,0.1,2.8,99,,,10
2022-06-30 2:00,25.2,0,2,99,,,8
2022-06-30 3:00,25.1,,2,99,,,9
2022-06-30 4:00,24.5,1.2,1.9,99,,,10
2022-06-30 5:00,24.7,0.1,3.1,99,,,10
2022-06-30 6:00,24.7,0.2,2.6,99,0,0.08,10
2022-06-30 7:00,25.3,0.1,1.8,99,0,0.27,9
2022-06-30 8:00,26.9,,2.8,99,0.5,1.15,9
2022-06-30 9:00,27.1,,2.2,98,0.2,1.1,7
2022-06-30 10:00,27.9,,1.6,99,0.1,0.76,8
2022-06-30 11:00,27.8,,3.7,94,0.3,1.28,10
2022-06-30 12:00,28.3,0,2.8,94,0,1.31,9
2022-06-30 13:00,29.6,,3.3,83,0.5,2.18,8
2022-06-30 14:00,29,,3.2,83,0.4,1.67,8
2022-06-30 15:00,29.4,,2.9,82,0,1.13,9
2022-06-30 16:00,29.4,,3.5,81,0.1,1.27,8
2022-06-30 17:00,29.3,,2.8,81,0,0.85,8
2022-06-30 18:00,29.7,,3.1,80,1,1.01,6
2022-06-30 19:00,29.1,,2.5,81,0.6,0.88,7
2022-06-30 20:00,27.5,,2.1,92,0.3,0.19,7
2022-06-30 21:00,26.7,,2.5,96,,,5
2022-06-30 22:00,26.2,,1.9,98,,,4
2022-06-30 23:00,25.9,,1.6,98,,,3
2022-07-01 0:00,25.6,,2.2,99,,,3
2022-07-01 1:00,25.1,,1.4,99,,,2
2022-07-01 2:00,25,,1.8,99,,,4
2022-07-01 3:00,24.9,,1.6,99,,,2
2022-07-01 4:00,24.5,,0.4,99,,,3
2022-07-01 5:00,24.4,,1,99,,,3
2022-07-01 6:00,24,,0.9,99,0.1,0.1,2
2022-07-01 7:00,25.1,,0.9,99,1,0.59,2
2022-07-01 8:00,27.3,,2.5,88,1,1.29,2
2022-07-01 9:00,28.4,,3.3,83,1,1.96,1
2022-07-01 10:00,29.8,,1.9,74,1,2.75,1
2022-07-01 11:00,30.1,,1.5,70,0.9,2.62,4
2022-07-01 12:00,30.6,,3.6,68,0.6,2.08,5
2022-07-01 13:00,31,,3.1,64,0.7,2.73,5
2022-07-01 14:00,31.2,,3,64,0.7,2.57,6
2022-07-01 15:00,32.5,,2.6,63,0.9,2.76,6
2022-07-01 16:00,32.4,,2.6,58,0.9,2.43,3
2022-07-01 17:00,32.3,,3.3,57,0.9,1.98,1
2022-07-01 18:00,31.7,,3,54,1,1.44,0
2022-07-01 19:00,30.3,,2.8,61,0.6,0.73,0
2022-07-01 20:00,28.9,,3.1,62,0.4,0.15,1
2022-07-01 21:00,27.4,,1.4,67,,,0
2022-07-01 22:00,27.1,,1.5,73,,,0
2022-07-01 23:00,26.8,,0.5,76,,,0
2022-07-02 0:00,25.9,,0.1,79,,,0
2022-07-02 1:00,25.2,,0.7,85,,,0
2022-07-02 2:00,24.6,,0.4,87,,,0
2022-07-02 3:00,23.8,,0.4,94,,,0
2022-07-02 4:00,23.2,,1,97,,,3
2022-07-02 5:00,23.2,,0.9,97,,,4
2022-07-02 6:00,23.4,,0.7,97,0.1,0.11,6
2022-07-02 7:00,23.8,,0.1,97,1,0.66,5
2022-07-02 8:00,26.3,,0.4,85,1,1.24,0
2022-07-02 9:00,28.3,,0.4,74,1,2.01,0
2022-07-02 10:00,30.6,,0.4,67,1,2.69,3
2022-07-02 11:00,31.9,,0.9,58,1,3.14,6
2022-07-02 12:00,32,,0.7,57,1,3.23,6
2022-07-02 13:00,33,,0.8,54,1,3.4,5
2022-07-02 14:00,33.5,,1.6,53,0.7,2.5,4
2022-07-02 15:00,33.5,,1.2,53,0.6,1.88,5
2022-07-02 16:00,34.2,,0.9,53,0.6,1.63,3
2022-07-02 17:00,34.5,,0.9,48,0.9,1.56,2
2022-07-02 18:00,32,,1.2,66,0.7,0.89,1
2022-07-02 19:00,30.6,,1.1,74,0.3,0.47,1
2022-07-02 20:00,29.1,,1.3,80,0.2,0.13,2
2022-07-02 21:00,28.3,,1.7,85,,,3
2022-07-02 22:00,27.8,,0.8,87,,,8
2022-07-02 23:00,27.4,,1.1,85,,,7
2022-07-03 0:00,26.8,,1.5,87,,,8
2022-07-03 1:00,26.7,,0.3,88,,,10
2022-07-03 2:00,26.3,,0.5,89,,,10
2022-07-03 3:00,26.2,,0.3,90,,,6
2022-07-03 4:00,25.6,,0.8,96,,,7
2022-07-03 5:00,25.6,,0.6,92,,,5
2022-07-03 6:00,25.2,,0.1,94,0,0.09,5
2022-07-03 7:00,25.7,,0.7,90,0.3,0.35,5
2022-07-03 8:00,27.3,,1,80,1,1.17,7
2022-07-03 9:00,28.6,,0.7,67,1,1.65,7
2022-07-03 10:00,30.3,,0.5,62,1,2.16,8
2022-07-03 11:00,32.1,,1.4,57,1,2.98,6
2022-07-03 12:00,31.4,,1.3,63,0.2,1.77,8
2022-07-03 13:00,32.1,,1.3,67,0.3,2,9
2022-07-03 14:00,32,,2.2,59,0,1.41,9
2022-07-03 15:00,33.1,,2.3,58,0.4,1.83,4
2022-07-03 16:00,32.3,,2.6,59,0.8,2.18,8
2022-07-03 17:00,32.7,,1.7,58,0.3,0.95,8
2022-07-03 18:00,30.8,0,2.6,66,0.3,0.47,10
2022-07-03 19:00,30.1,,2.8,69,0,0.3,9
2022-07-03 20:00,29.5,,2.6,71,0,0.12,7
2022-07-03 21:00,28.6,,1.5,75,,,4
2022-07-03 22:00,28.1,,1.2,78,,,4
2022-07-03 23:00,27.7,,0.7,83,,,4
2022-07-04 0:00,27.3,,1.1,83,,,2
2022-07-04 1:00,27,,0.4,84,,,8
2022-07-04 2:00,27,,0.9,86,,,6
2022-07-04 3:00,26.9,,0.8,86,,,5
2022-07-04 4:00,24.5,0.6,0,99,,,10
2022-07-04 5:00,24.3,0.6,0,99,,,10
2022-07-04 6:00,24.6,0,0.5,99,0,0.06,8
2022-07-04 7:00,25.2,,0.4,99,0,0.22,9
2022-07-04 8:00,25.6,,0.1,99,0,0.5,9
2022-07-04 9:00,27.6,,0.7,95,0.2,1.04,9
2022-07-04 10:00,28.8,,1.6,87,0.3,1.58,5
2022-07-04 11:00,29.5,,1.5,77,1,2.97,6
2022-07-04 12:00,29.5,,1,77,0.1,1.27,9
2022-07-04 13:00,29.3,,1.2,78,0.2,1.98,9
2022-07-04 14:00,29.1,0,1,79,0,0.7,9
2022-07-04 15:00,29.6,0,1.4,79,0,0.95,9
2022-07-04 16:00,30.3,,0.6,76,0,1.24,9
2022-07-04 17:00,31.2,,0.4,69,0.8,1.72,6
2022-07-04 18:00,27.2,0.9,0.4,94,0.5,0.74,9
2022-07-04 19:00,27.2,0,1.5,97,0,0.1,9
2022-07-04 20:00,27.1,,0.5,99,0,0.07,10
2022-07-04 21:00,26.6,,0.4,99,,,7
2022-07-04 22:00,26.5,,0.2,99,,,9
2022-07-04 23:00,26.1,,0.3,99,,,6
2022-07-05 0:00,25.9,,0.3,99,,,7
2022-07-05 1:00,25.7,,0.7,99,,,6
2022-07-05 2:00,25.6,,0,99,,,10
2022-07-05 3:00,25.5,,0,99,,,5
2022-07-05 4:00,25.4,,0,99,,,6
2022-07-05 5:00,25.5,,0,99,,,9
2022-07-05 6:00,25.5,,0.5,99,0,0.08,10
2022-07-05 7:00,26,,0.3,99,0,0.39,9
2022-07-05 8:00,26.2,,0.8,99,0.1,0.58,9
2022-07-05 9:00,27.5,,0.9,98,0.3,1.35,8
2022-07-05 10:00,29.2,,0.9,88,0.7,2.1,8
2022-07-05 11:00,30.4,,0.8,81,0.4,1.85,7
2022-07-05 12:00,31.5,,0.9,72,0.6,2.39,8
2022-07-05 13:00,31.3,,0.9,71,0.3,1.9,9
2022-07-05 14:00,31.2,,1.8,75,0.1,1.81,9
2022-07-05 15:00,30.7,,0.8,80,0.2,1.56,9
2022-07-05 16:00,31.6,,1.2,77,0.4,1.33,8
2022-07-05 17:00,30.7,,1,78,0.1,0.94,9
2022-07-05 18:00,26.1,7,1.4,99,0,0.36,9
2022-07-05 19:00,26.5,0.3,2,99,0,0.23,9
2022-07-05 20:00,26.7,,1.4,99,0,0.08,9
2022-07-05 21:00,26.4,,1,99,,,9
2022-07-05 22:00,26.3,,1.2,99,,,8
2022-07-05 23:00,26.1,,0.1,99,,,9
2022-07-06 0:00,25.8,,0.1,99,,,7
2022-07-06 1:00,26,,0.8,99,,,10
2022-07-06 2:00,26,,0.1,99,,,10
2022-07-06 3:00,25.8,,0.6,99,,,7
2022-07-06 4:00,26.1,,0.6,99,,,7
2022-07-06 5:00,25.4,,1.5,99,,,6
2022-07-06 6:00,25.5,,1.4,99,0,0.09,8
2022-07-06 7:00,26.1,,0.6,99,0.2,0.31,4
2022-07-06 8:00,27.8,,0.8,96,0.8,1.09,6
2022-07-06 9:00,28.8,,0.9,92,1,1.62,7
2022-07-06 10:00,29.5,,1.2,86,0.7,1.73,8
2022-07-06 11:00,30.8,,3.4,79,0.9,2.56,7
2022-07-06 12:00,31.4,,2,74,0.4,1.98,8
2022-07-06 13:00,32.4,,1.8,70,0.7,2.8,7
2022-07-06 14:00,33,,2.4,63,0.8,2.68,7
2022-07-06 15:00,32.5,,1.9,65,0.8,2.47,7
2022-07-06 16:00,32.6,,2.1,67,0.7,1.78,6
2022-07-06 17:00,32.8,,4.2,62,0.9,1.76,5
2022-07-06 18:00,32.1,,3.2,66,1,1.53,7
2022-07-06 19:00,30,,2.5,77,0.5,0.73,6
2022-07-06 20:00,29.1,,2.5,83,0,0.1,6
2022-07-06 21:00,28.6,,2.7,88,,,6
2022-07-06 22:00,28.2,,2.8,89,,,6
2022-07-06 23:00,27.8,,2.6,93,,,8
2022-07-07 0:00,28,,2.6,89,,,7
2022-07-07 1:00,27.5,,3,94,,,9
2022-07-07 2:00,27.4,,2.4,94,,,7
2022-07-07 3:00,27.4,,2.5,95,,,4
2022-07-07 4:00,27.2,,2.7,97,,,0
2022-07-07 5:00,27.2,,2.6,96,,,0
2022-07-07 6:00,27,,2.7,97,0,0.08,4
2022-07-07 7:00,27.3,,2.6,96,0.7,0.39,2
2022-07-07 8:00,29.1,,2.3,84,1,1.19,4
2022-07-07 9:00,30,,3.6,80,1,1.89,5
2022-07-07 10:00,31.3,,3.5,74,1,2.58,4
2022-07-07 11:00,32.7,,3.3,70,1,3.18,5
2022-07-07 12:00,32.4,,4,68,0.9,2.94,6
2022-07-07 13:00,31.5,,3.9,69,0.3,1.72,8
2022-07-07 14:00,30.4,,3.6,76,0,0.92,9
2022-07-07 15:00,31,,3.4,78,0,1.25,10
2022-07-07 16:00,30.5,,2.7,81,0.3,1.59,10
2022-07-07 17:00,29.7,0,2.4,86,0,0.45,10
2022-07-07 18:00,29.3,0,3.8,89,0,0.29,10
2022-07-07 19:00,28.2,0,3,98,0,0.13,10
2022-07-07 20:00,26.5,1.1,1.6,99,0,0.06,10
2022-07-07 21:00,26.9,1.6,0.8,99,,,7
2022-07-07 22:00,26.7,0,1.6,99,,,10
2022-07-07 23:00,26.2,2.2,1.5,99,,,9
2022-07-08 0:00,26.1,,1.7,99,,,6
2022-07-08 1:00,26.1,,1.5,99,,,6
2022-07-08 2:00,26,,2.3,99,,,7
2022-07-08 3:00,26,,2.6,99,,,9
2022-07-08 4:00,25.9,,2.5,99,,,9
2022-07-08 5:00,25.8,,1.2,99,,,9
2022-07-08 6:00,25.7,,1.8,99,0,0.07,7
2022-07-08 7:00,26.1,,1,99,0,0.18,9
2022-07-08 8:00,26.6,,1.5,99,0,0.32,10
2022-07-08 9:00,27.5,,1,99,0,0.55,10
2022-07-08 10:00,27.9,,1.1,98,0,0.86,10
2022-07-08 11:00,27.8,,1,98,0,0.58,8
2022-07-08 12:00,26.6,0.3,0.6,99,0,0.28,10
2022-07-08 13:00,25.8,4.5,0.5,99,0,0.37,10
2022-07-08 14:00,26.5,,0.8,99,0,0.66,7
2022-07-08 15:00,27.2,,0.8,99,0,1.1,9
2022-07-08 16:00,29.4,,1.5,92,0.4,1.71,8
2022-07-08 17:00,29.1,,1.1,83,0.4,1.22,4
2022-07-08 18:00,29.4,,1.1,81,0.7,1.07,4
2022-07-08 19:00,28.5,,0.7,81,0.4,0.53,2
2022-07-08 20:00,27.1,,0.8,93,0.1,0.12,3
2022-07-08 21:00,26,,0.4,97,,,3
2022-07-08 22:00,24.9,,0,99,,,1
2022-07-08 23:00,24.9,,1.1,99,,,0
2022-07-09 0:00,24.4,,1.5,99,,,1
2022-07-09 1:00,23.9,,2.1,99,,,
2022-07-09 2:00,24,,0.5,99,,,8
2022-07-09 3:00,23.8,,0.3,99,,,8
2022-07-09 4:00,24,,0.2,99,,,6
2022-07-09 5:00,23.9,,0.4,99,,,7
2022-07-09 6:00,23.9,,0.6,99,0,0.07,9
2022-07-09 7:00,23.8,,0.3,99,0,0.17,5
2022-07-09 8:00,24.5,,1,98,0.3,0.71,4
2022-07-09 9:00,26.3,,0.4,96,0.4,1.09,4
2022-07-09 10:00,26.7,,0.8,88,0.6,1.65,7
2022-07-09 11:00,27.6,,1.4,86,0.2,1.41,10
2022-07-09 12:00,27.7,,1.1,84,0.1,1.45,9
2022-07-09 13:00,28.1,,1.3,84,0.1,1.54,10
2022-07-09 14:00,30,,1.1,79,0.4,2.12,9
2022-07-09 15:00,30.6,,1.4,66,0.5,2.21,8
2022-07-09 16:00,30.5,,1.7,64,0.9,2.46,7
2022-07-09 17:00,30.9,,1.7,64,0.8,1.7,6
2022-07-09 18:00,30.2,,2,72,1,1.24,1
2022-07-09 19:00,28.9,,1.5,77,0.6,0.54,2
2022-07-09 20:00,28.1,,1.3,84,0,0.13,4
2022-07-09 21:00,27.8,,0.2,90,,,7
2022-07-09 22:00,27,,1.1,97,,,3
2022-07-09 23:00,26.4,,1.1,98,,,4
2022-07-10 0:00,25.4,,1.1,99,,,4
2022-07-10 1:00,25.6,,0.5,99,,,4
2022-07-10 2:00,25.4,,0.5,99,,,7
2022-07-10 3:00,24.8,,0.7,99,,,4
2022-07-10 4:00,24.5,,0,99,,,7
2022-07-10 5:00,24.6,,0.3,99,,,3
2022-07-10 6:00,24.6,,0.2,99,0,0.07,0
2022-07-10 7:00,25,,0.1,99,0.1,0.33,2
2022-07-10 8:00,26.2,,0.2,99,0.6,0.96,3
2022-07-10 9:00,27.7,,0.2,94,1,1.73,5
2022-07-10 10:00,29.5,,0.7,85,1,2.44,7
2022-07-10 11:00,29.5,,0.9,80,0.5,2.01,8
2022-07-10 12:00,30.7,,0.9,77,0.5,1.99,8
2022-07-10 13:00,32.6,,1.3,65,0.8,2.67,7
2022-07-10 14:00,32.8,,2.3,61,1,3.35,7
2022-07-10 15:00,32.6,,1.8,62,0.8,2.62,7
2022-07-10 16:00,32.6,,2,68,0.8,1.88,7
2022-07-10 17:00,31.4,,2.7,71,0.1,0.64,8
2022-07-10 18:00,30.9,,4,69,0,0.51,7
2022-07-10 19:00,29.6,,4.3,80,0,0.34,7
2022-07-10 20:00,28.5,,3.4,86,0,0.11,7
2022-07-10 21:00,28.1,,2.5,87,,,9
2022-07-10 22:00,27.5,,2.4,92,,,10
2022-07-10 23:00,27,,2.1,95,,,10
2022-07-11 0:00,26.3,0,1.4,97,,,10
2022-07-11 1:00,24.6,6.9,0.9,99,,,10
2022-07-11 2:00,25,0.4,0.4,99,,,10
2022-07-11 3:00,24.6,,0.1,99,,,10
2022-07-11 4:00,24.6,4.4,1.4,99,,,10
2022-07-11 5:00,24.4,0.6,0.9,99,,,10
2022-07-11 6:00,24.2,0.6,1.1,99,0,0.06,10
2022-07-11 7:00,24,0.5,0.5,99,0,0.09,10
2022-07-11 8:00,24.3,0.7,0.9,99,0,0.25,10
2022-07-11 9:00,25.5,0.2,0.4,99,0,0.54,9
2022-07-11 10:00,27,,1.5,99,0.4,1.42,7
2022-07-11 11:00,27.7,,2,98,0.2,1.64,9
2022-07-11 12:00,28.1,,0.3,90,0.1,1.41,9
2022-07-11 13:00,29.8,,0.4,75,0.4,2.14,9
2022-07-11 14:00,30.1,,0.9,74,0.5,2.29,7
2022-07-11 15:00,29.6,,1.2,79,0.2,1.4,8
2022-07-11 16:00,29.2,0,2.2,84,0.1,0.62,10
2022-07-11 17:00,29.6,,1.9,82,0,0.53,9
2022-07-11 18:00,30.2,,1.2,78,0.5,1.14,6
2022-07-11 19:00,28.8,,0.2,89,0.2,0.37,2
2022-07-11 20:00,28,,0.1,96,0,0.13,5
2022-07-11 21:00,27.5,,1,98,,,5
2022-07-11 22:00,27.3,,0.9,98,,,5
2022-07-11 23:00,27,,0.4,99,,,5
2022-07-12 0:00,27,,1.1,98,,,6
2022-07-12 1:00,26.7,,1.3,99,,,6
2022-07-12 2:00,26.3,,0.8,99,,,3
2022-07-12 3:00,26.2,,1,99,,,8
2022-07-12 4:00,25.9,,0.6,99,,,6
2022-07-12 5:00,26,,0.9,99,,,7
2022-07-12 6:00,25.8,,0.7,99,0,0.08,7
2022-07-12 7:00,26.4,,0.2,99,0,0.28,7
2022-07-12 8:00,27.2,,0.5,98,0,0.64,9
2022-07-12 9:00,28.3,,1.8,93,0.3,1.37,8
2022-07-12 10:00,29.9,,2.6,88,0.2,1.6,7
2022-07-12 11:00,29.2,,1.7,89,0.1,1.41,9
2022-07-12 12:00,28.6,,2.8,93,0.3,1.81,8
2022-07-12 13:00,30.7,,2.5,84,0.8,3.3,6
2022-07-12 14:00,29.5,,2.5,82,0.7,2.61,8
2022-07-12 15:00,30.1,,2.7,76,0.6,2.52,8
